Galaxy	RA_deg  	DEC_deg	SBF	 NED-D	Virgo_kms	VHel_Mpc	D_mag	M_K_mag	A_B	ttype 	log_Re	Rmax	Epsilon_e	Epsilon_e2	Band	VSigma_e	VSigma_e2	LambdaR_e	LambdaR_e2	FS_e	FS_e2	Source	Class	Filter	Rb_asec	mu	alpha	beta	gamma	gamma_prime	RMS	Rgamma_asec	Rgamma_pc	Kinematic_Group	LABEL
NGC3674	171.61087	57.04829	0	0	0	2055	33.4	-23.23	0.06	-1.9	1.05	1.28	0.568	0.342	G	0.491	0.292	0.541	0.308	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC3694	172.225571	35.413857	0	0	0	2243	35.2	-22.35	0.1	-5	1.02	1.71	0.268	0.208	G	0.269	0.203	0.256	0.191	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC3757	174.261765	58.415649	0	0	0	1245	22.6	-22.15	0.06	-2	0.95	2.06	0.153	0.153	G	0.119	0.096	0.126	0.098	F	S	no imaging	not measured	no imaging						unknown					unknown
NGC3796	175.129776	60.298958	0	0	0	1250	22.7	-21.84	0.06	0	1.06	1.53	0.361	0.398	G	0.164	0.111	0.171	0.119	S	S	WPC2/PC1 (Krajnovic et al. 2013b)	power-law	F814W	0.2	14	3.24	1.48	0.66	0.74	0.01	-0.1	-11.01	2_ peak galaxies	core
NGC3838	176.057205	57.948101	0	0	0	1308	23.5	-22.52	0.05	0	1.04	1.42	0.605	0.385	S	0.743	0.536	0.676	0.509	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC3941	178.230667	36.986378	1	2	0	930	11.9	-23.06	0.09	-2	1.4	0.66	0.251	0.251	G	0.439	0.352	0.468	0.373	F	F	no imaging	not measured	no imaging						unknown					unknown
NGC3945	178.30719	60.67556	0	0	0	1281	23.2	-24.31	0.12	-1.2	1.45	0.74	0.09	0.23	G	0.717	0.741	0.524	0.561	F	F	Lauer et al. (2007)	power-law	WFPC2: see Source	7.38	18.62	0.3	2.56	-0.06	0.57		0.1	10.8	regular-rotators	core
NGC3998	179.484039	55.453564	1	2	0	1048	13.7	-23.33	0.07	-2.1	1.3	0.87	0.17	0.164	G	0.415	0.326	0.454	0.342	F	F	ACS (Krajnovic et al. 2013b)	intermediate	F814W	0.28	14	2.77	6.32	0.15	0.49	0.03	0.1	6.74	regular-rotators	core
NGC4026	179.85495	50.961689	1	2	0	985	13.2	-23.03	0.09	-1.8	1.31	0.75	0.556	0.438	G	0.54	0.451	0.548	0.442	F	F	Lauer et al. (2007)	power-law	WFPC2: see Source	0.63	15.23	0.4	1.78	0.15	0.65		0.02	1.58	regular-rotators	core
NGC4036	180.362045	61.895699	0	0	0	1385	24.6	-24.4	0.1	-2.6	1.46	0.53	0.555	0.54	G	0.818	0.803	0.685	0.678	F	F	no imaging	not measured	no imaging						unknown					unknown
